File Format Name,Abbreviated Name (most often extension),File Format Type,Appearances in policies expressing medium confidence,Appearances in policies expressing high confidence,Total appearances in policies,Difference (between appearances in functional and bit-level policies),Relative Confidence (for File Formats in over 10 policies)
Dynamic Link Library,DLL,computer program,3,0,3,-3,N/A
Extensible Stylesheet Language,XSL,computer program,0,1,1,1,N/A
StarMail 5 mail file,SDM,document,1,0,1,-1,N/A
StarWriter 5 Document,SDW,document,1,0,1,-1,N/A
StarWriter 5 Global Document,SGL,document,1,0,1,-1,N/A
Writer 6.0 Template,STW,document,1,0,1,-1,N/A
Writer 6.0 Global Document,SXG,document,1,0,1,-1,N/A
Electronic Publication,EPUB,document,0,2,2,2,N/A
PrimeOCR PRO Format,PRO,document,0,2,2,2,N/A
Microsoft Word Macro-Enabled XML,DOCM,document,1,1,2,0,N/A
OpenDocument Master Document,ODM,document,2,0,2,-2,N/A
OpenDocument HTML Template,OTH,document,2,0,2,-2,N/A
OpenDocument document Template,OTT,document,2,0,2,-2,N/A
Machine Readable Cataloging,MDB,document,3,0,3,-3,N/A
Extensible HyperText Markup Language,XHTML,document,1,3,4,2,N/A
Document Type Definition,DTD,document,2,2,4,0,N/A
Web Archive File Format,WARC,document,2,2,4,0,N/A
Fixed Field document Data,"DAT, ASC",document,0,6,6,6,N/A
Writer 6.0 Document,SXW,document,4,2,6,-2,N/A
Tab Separated Values,TAB,document,1,6,7,5,N/A
Cascading Style Sheets,CSS,document,6,2,8,-4,N/A
OpenDocument document,ODT,document,5,4,9,-1,N/A
Shape File,SHP,geospatial,6,2,8,-4,N/A
Esri Shapefile,"PRJ, SBN, SBX, SHX",geospatial,4,0,4,-4,N/A
TIFF World File,TFW,geospatial,2,0,2,-2,N/A
geoTiff,geoTiff,geospatial,1,0,1,-1,N/A
MapInfo Interchange Format,MIF,geospatial,1,0,1,-1,N/A
Keyhole Mark-up language,KML,geospatial,1,0,1,-1,N/A
DjVu,"DJVU, DJV",image,4,0,4,-4,N/A
StarDraw 5 Document,SDA,image,1,0,1,-1,N/A
Draw 6.0 Template,STD,image,1,0,1,-1,N/A
Draw 6.0 Document,SXD,image,1,0,1,-1,N/A
Google WebP,WEBP,image,0,2,2,2,N/A
OpenDocument Drawing,ODG,image,2,0,2,-2,N/A
OpenDocument Image,ODI,image,2,0,2,-2,N/A
OpenDocument Drawing Template,OTG,image,2,0,2,-2,N/A
X3D,X3D,image,0,3,3,3,N/A
Universal 3D,U3D,image,2,2,4,0,N/A
Virtual Reality Modeling Language,"VRML, WRL",image,2,2,4,0,N/A
FlashPix,FPX,image,4,0,4,-4,N/A
RAW,RAW*,image,3,2,5,-1,N/A
Computer Graphic Metafile,CGM,image,3,2,5,-1,N/A
JPEG 2000 Part 2,"JPF, JPX",image,4,1,5,-3,N/A
Javascript Source Code,JS,computer program,1,5,6,4,N/A
Digital Negative,DNG,image,3,3,6,0,N/A
JFIF File Interchange Format,"JFIF, JPEG",image,3,3,6,0,N/A
Macromedia Flash,SWF,image,6,0,6,-6,N/A
Encapsulated Postscript,EPS,image,6,2,8,-4,N/A
Scalable Vector Graphics,SVG,image,2,7,9,5,N/A
MrSID,SID,image,9,0,9,-9,N/A
StarImpress 5 Presentation,SDD,presentation,1,0,1,-1,N/A
StarImpress Packed 5 file,SDP,presentation,1,0,1,-1,N/A
Impress 6.0 Template,STI,presentation,1,0,1,-1,N/A
Microsoft Powerpoint Macro-Enabled XML,PPTM,presentation,1,1,2,0,N/A
OpenDocument Chart,ODC,presentation,2,0,2,-2,N/A
OpenDocument Presentation Template,OTP,presentation,2,0,2,-2,N/A
Impress 6.0 Presentation,SXI,presentation,3,2,5,-1,N/A
OpenDocument Presentation,ODP,presentation,5,3,8,-2,N/A
Microsoft Powerpoint XML,PPTX,presentation,5,3,8,-2,N/A
JCAMP,JCAMP,spreadsheet/database,1,0,1,-1,N/A
StarCalc 5 Document,SDC,spreadsheet/database,1,0,1,-1,N/A
StarChart 5 Document,SDS,spreadsheet/database,1,0,1,-1,N/A
StarMath 5 Document,SMF,spreadsheet/database,1,0,1,-1,N/A
Calc 6.0 Template,STC,spreadsheet/database,1,0,1,-1,N/A
Math 6.0 Document,SXM,spreadsheet/database,1,0,1,-1,N/A
Microsoft Excel Marco-Enabled XML,XLSM,spreadsheet/database,1,0,1,-1,N/A
RDF,rdf,spreadsheet/database,1,1,2,0,N/A
OpenDocument Database,ODB,spreadsheet/database,2,0,2,-2,N/A
OpenDocument Spreadsheet Template,OTS,spreadsheet/database,2,0,2,-2,N/A
SQL Data Definition Language,DDL,spreadsheet/database,0,3,3,3,N/A
Stata Syntax File,DO,spreadsheet/database,0,4,4,4,N/A
SPSS Syntax File,SPS,spreadsheet/database,0,4,4,4,N/A
SAS System File,"SD1, SAS7BDAT, SD2, SD7, SSD01, SS, SSD04",spreadsheet/database,4,0,4,-4,N/A
SAS Transport File,"XPT, CPORT, V5X, V6X, V7X",spreadsheet/database,4,0,4,-4,N/A
SAS,SAS,spreadsheet/database,0,5,5,5,N/A
Calc 6.0 Spreadsheet,SXC,spreadsheet/database,3,2,5,-1,N/A
SPSS,SAV,spreadsheet/database,4,1,5,-3,N/A
Stata Portable File,POR,spreadsheet/database,5,0,5,-5,N/A
OpenDocument Formula,ODF,spreadsheet/database,3,3,6,0,N/A
Database File Extension,DBF,spreadsheet/database,4,3,7,-1,N/A
Microsoft Access,MDB,spreadsheet/database,5,2,7,-3,N/A
FFV1/LPCM in MKV,FFV1/LPCM in MKV,video,0,1,1,1,N/A
MPEG-7,MP7,video,0,1,1,1,N/A
HDV,HDV,video,1,0,1,-1,N/A
OGV,OGV,video,1,0,1,-1,N/A
Digital Video File,DV,video,2,1,3,-1,N/A
Real Networks,RV,video,6,0,6,-6,N/A
"* ""Camera RAW"" comprises numerous file extensions that differ from one camera manufacturer to the next;  a partial list would include: ARI, ARW, BAY, CRW, CR2, CAP, DCS, DCR, DNG, DRF, EIP, ERF, FFF, IIQ, K25, KDC, MEF, MOS, MRW, NEF, NRW, OBM, ORF, PEF, PTX, PXN, R3D, RAF, RAW, RWL, RW2, RWZ, SR2, SRF, SRW, X3F",,,,,,,
